Commune,Taux d'incidence,Taux de positivité
Château-Chinon (Campagne) (58),20 à 50,30 et plus
Romagny-sous-Rougemont (90),250 à 500,30 et plus
Chevigny-en-Valière (21),500 à 1000,20 à 25
Champallement (58),50 à 150,30 et plus
Thorey-sur-Ouche (21),20 à 50,30 et plus
Santigny (89),0 à 10,0 à 1
Saint-Aubin-des-Chaumes (58),0 à 10,1 à 5
Moraches (58),50 à 150,5 à 10
Bousselange (21),20 à 50,0 à 1
Châteauneuf (71),1000 et plus,30 et plus
Créot (71),150 à 250,5 à 10
Leval (90),0 à 10,0 à 1
Vernois-lès-Vesvres (21),0 à 10,0 à 1
Les Moussières (39),50 à 150,30 et plus
Cuncy-lès-Varzy (58),0 à 10,0 à 1
Girolles (89),10 à 20,1 à 5
Blanot (21),0 à 10,0 à 1
Lantenay (21),500 à 1000,25 à 30
Brianny (21),50 à 150,1 à 5
Tintry (71),150 à 250,10 à 15
Barjon (21),0 à 10,30 et plus
Écutigny (21),50 à 150,5 à 10
Cornant (89),150 à 250,15 à 20
Morey-Saint-Denis (21),250 à 500,15 à 20
Busserotte-et-Montenaille (21),0 à 10,0 à 1
Andelnans (90),250 à 500,10 à 15
Oudan (58),0 à 10,0 à 1
Saint-Euphrône (21),50 à 150,1 à 5
Crugey (21),500 à 1000,30 et plus
Marigny-lès-Reullée (21),250 à 500,30 et plus
Larivière (90),10 à 20,0 à 1
Pellerey (21),0 à 10,0 à 1
Barbirey-sur-Ouche (21),0 à 10,0 à 1
