dep,jour,P,cl_age90,pop,taux_incidence_quot,positif_7j,taux_incid_7j
71,2020-09-26,25,0,547824.0,4.563509448289962,380.0,69.36534361400741
71,2020-09-27,9,0,547824.0,1.6428634013843864,381.0,69.54788399193902
71,2020-09-28,78,0,547824.0,14.238149478664681,381.0,69.54788399193902
71,2020-09-29,68,0,547824.0,12.412745699348697,378.0,69.00026285814423
71,2020-09-30,96,0,547824.0,17.523876281433456,419.0,76.48441835333976
71,2020-10-01,117,0,547824.0,21.35722421799702,465.0,84.8812757381933
71,2020-10-02,148,0,547824.0,27.015975933876575,541.0,98.75434446099476
71,2020-10-03,46,0,547824.0,8.39685738485353,562.0,102.58769239755833
71,2020-10-04,8,0,547824.0,1.4603230234527877,561.0,102.40515201962674
71,2020-10-05,175,0,547824.0,31.94456613802973,658.0,120.11156867899179
71,2020-10-06,137,0,547824.0,25.008031776628993,727.0,132.7068547562721
71,2020-10-07,188,0,547824.0,34.31759105114051,819.0,149.50056952597916
71,2020-10-08,170,0,547824.0,31.03186424837174,872.0,159.17520955635388
71,2020-10-09,273,0,547824.0,49.833523175326384,997.0,181.99275679780368
71,2020-10-10,69,0,547824.0,12.595286077280294,1020.0,186.19118549023045
71,2020-10-11,8,0,547824.0,1.4603230234527877,1020.0,186.19118549023045
71,2020-10-12,356,0,547824.0,64.98437454364905,1201.0,219.23099389584976
71,2020-10-13,321,0,547824.0,58.595461316043114,1385.0,252.8184234352639
71,2020-10-14,299,0,547824.0,54.57957300154794,1496.0,273.0804053856713
71,2020-10-15,340,0,547824.0,62.06372849674348,1666.0,304.11226963404306
71,2020-10-16,422,0,547824.0,77.03203948713455,1815.0,331.3107859458512
71,2020-10-17,121,0,547824.0,22.087385729723415,1867.0,340.8028855982943
71,2020-10-18,22,0,547824.0,4.015888314495166,1881.0,343.3584508893367
71,2020-10-19,477,0,547824.0,87.07176027337248,2002.0,365.4458366190602
71,2020-10-20,489,0,547824.0,89.26224480855166,2170.0,396.11262011156873
71,2020-10-21,579,0,547824.0,105.69087882239552,2450.0,447.22392593241625
71,2020-10-22,631,0,547824.0,115.18297847483863,2741.0,500.3431759105114
71,2020-10-23,670,0,547824.0,122.30205321417098,2989.0,545.6131896375479
71,2020-10-24,280,0,547824.0,51.11130582084757,3148.0,574.6371097286719
71,2020-10-25,75,0,547824.0,13.690528344869886,3201.0,584.3117497590467
71,2020-10-26,876,0,547824.0,159.90537106808026,3600.0,657.1453605537545
71,2020-10-27,876,0,547824.0,159.90537106808026,3987.0,727.7884868132832
71,2020-10-28,693,0,547824.0,126.50048190659776,4101.0,748.5980898974854
71,2020-10-29,581,0,547824.0,106.05595957825871,4051.0,739.4710710009053
71,2020-10-30,667,0,547824.0,121.75443208037616,4048.0,738.9234498671105
71,2020-10-31,249,0,547824.0,45.45255410496802,4017.0,733.2646981512311
71,2020-11-01,58,0,547824.0,10.587341920032712,4000.0,730.1615117263939
71,2020-11-02,911,0,547824.0,166.2942842956862,4035.0,736.5504249539998
71,2020-11-03,774,0,547824.0,141.28625251905723,3933.0,717.9313064049768
71,2020-11-04,696,0,547824.0,127.04810304039255,3936.0,718.4789275387716
71,2020-11-05,639,0,547824.0,116.64330149829141,3994.0,729.0662694588043
71,2020-11-06,611,0,547824.0,111.53217091620665,3938.0,718.8440082946348
71,2020-11-07,215,0,547824.0,39.24618125529367,3904.0,712.6376354449604
71,2020-11-08,48,0,547824.0,8.761938140716728,3894.0,710.8122316656445
71,2020-11-09,564,0,547824.0,102.95277315342153,3547.0,647.4707205233798
71,2020-11-10,547,0,547824.0,99.84958672858437,3320.0,606.034054732907
