jour,Département,Nouvelles hospitalisations en 24h,Nouvelles entrées en réanimation en 24h,Nouveaux décès à l'hôpital en 24h,Nouveaux retours à domicile en 24h
2020-05-06,Côte-d'Or,19,1,3,5
2020-05-06,Doubs,8,0,4,8
2020-05-06,Jura,1,1,0,1
2020-05-06,Nièvre,0,0,1,1
2020-05-06,Haute-Saône,4,0,0,7
2020-05-06,Saône-et-Loire,9,0,1,8
2020-05-06,Yonne,4,0,2,3
2020-05-06,Territoire de Belfort,10,0,1,4
2020-05-07,Côte-d'Or,10,2,3,34
2020-05-07,Doubs,2,0,2,7
2020-05-07,Jura,3,0,1,3
2020-05-07,Nièvre,0,0,0,4
2020-05-07,Haute-Saône,4,0,0,20
2020-05-07,Saône-et-Loire,5,0,1,8
2020-05-07,Yonne,3,1,1,5
2020-05-07,Territoire de Belfort,4,0,2,4
2020-05-08,Côte-d'Or,6,1,1,19
2020-05-08,Doubs,5,1,0,17
2020-05-08,Jura,6,0,0,3
2020-05-08,Nièvre,0,0,0,1
2020-05-08,Haute-Saône,1,1,1,2
2020-05-08,Saône-et-Loire,6,3,4,12
2020-05-08,Yonne,4,0,1,2
2020-05-08,Territoire de Belfort,7,1,1,10
2020-05-09,Côte-d'Or,5,0,2,2
2020-05-09,Doubs,3,2,0,5
2020-05-09,Jura,1,0,3,10
2020-05-09,Nièvre,0,0,0,0
2020-05-09,Haute-Saône,2,0,0,0
2020-05-09,Saône-et-Loire,2,0,1,2
2020-05-09,Yonne,2,0,1,0
2020-05-09,Territoire de Belfort,2,0,0,0
2020-05-10,Côte-d'Or,0,0,0,2
2020-05-10,Doubs,1,0,0,0
2020-05-10,Jura,0,0,0,0
2020-05-10,Nièvre,0,0,1,0
2020-05-10,Haute-Saône,1,0,0,0
2020-05-10,Saône-et-Loire,3,0,2,2
2020-05-10,Yonne,4,0,0,0
2020-05-10,Territoire de Belfort,3,0,2,0
2020-05-11,Côte-d'Or,1,0,0,4
2020-05-11,Doubs,11,0,3,4
2020-05-11,Jura,5,2,3,1
2020-05-11,Nièvre,2,2,0,1
2020-05-11,Haute-Saône,3,0,1,2
2020-05-11,Saône-et-Loire,4,1,4,5
2020-05-11,Yonne,2,0,2,0
2020-05-11,Territoire de Belfort,3,1,0,2
2020-05-12,Côte-d'Or,5,3,4,6
2020-05-12,Doubs,6,2,1,2
2020-05-12,Jura,0,0,1,3
2020-05-12,Nièvre,2,1,0,0
2020-05-12,Haute-Saône,1,0,0,5
2020-05-12,Saône-et-Loire,1,0,3,14
2020-05-12,Yonne,2,0,0,4
2020-05-12,Territoire de Belfort,4,1,1,10
2020-05-13,Côte-d'Or,12,1,1,16
2020-05-13,Doubs,2,0,0,3
2020-05-13,Jura,1,0,0,1
2020-05-13,Nièvre,0,0,0,2
2020-05-13,Haute-Saône,0,1,0,2
2020-05-13,Saône-et-Loire,11,0,3,12
2020-05-13,Yonne,5,0,0,5
2020-05-13,Territoire de Belfort,1,0,2,2
2020-05-14,Côte-d'Or,4,0,0,5
2020-05-14,Doubs,1,0,1,10
2020-05-14,Jura,0,0,0,2
2020-05-14,Nièvre,0,0,0,1
2020-05-14,Haute-Saône,1,0,1,0
2020-05-14,Saône-et-Loire,5,1,0,4
2020-05-14,Yonne,2,0,0,0
2020-05-14,Territoire de Belfort,2,0,1,7
2020-05-15,Côte-d'Or,3,0,0,13
2020-05-15,Doubs,0,0,0,2
2020-05-15,Jura,1,0,1,4
2020-05-15,Nièvre,1,1,0,0
2020-05-15,Haute-Saône,0,1,0,2
2020-05-15,Saône-et-Loire,5,2,1,9
2020-05-15,Yonne,1,0,0,5
2020-05-15,Territoire de Belfort,1,0,0,6
2020-05-16,Côte-d'Or,2,0,0,2
2020-05-16,Doubs,1,1,1,7
2020-05-16,Jura,4,0,1,5
2020-05-16,Nièvre,0,0,0,1
2020-05-16,Haute-Saône,0,0,0,0
2020-05-16,Saône-et-Loire,1,1,0,2
2020-05-16,Yonne,4,0,0,3
2020-05-16,Territoire de Belfort,0,0,0,8
2020-05-17,Côte-d'Or,0,0,0,2
2020-05-17,Doubs,0,0,0,0
2020-05-17,Jura,0,0,0,0
2020-05-17,Nièvre,0,0,0,0
2020-05-17,Haute-Saône,0,0,0,0
2020-05-17,Saône-et-Loire,0,0,0,0
2020-05-17,Yonne,0,0,0,0
2020-05-17,Territoire de Belfort,1,0,0,0
2020-05-18,Côte-d'Or,0,0,0,0
2020-05-18,Doubs,2,0,4,11
2020-05-18,Jura,0,0,0,1
2020-05-18,Nièvre,0,0,0,0
2020-05-18,Haute-Saône,1,0,1,2
2020-05-18,Saône-et-Loire,8,0,2,3
